id;attri_objet;attri_type;attritexte;attri_ref;attrifichier;attri_raisonsocial;attri_date;attridatepublication;attri_pub;autirite_id
1;EXE silver Spain;Forward invoice intuitive;interface action-items Practical;firewall;Generic Wooden Chips back-end;application compressing interactive;2021-01-12;2021-01-12;35219;18977
2;yellow Corners Plastic;Table Concrete Persevering;Practical Kwacha Security;Missouri;primary Buckinghamshire West Virginia;green software panel;2021-01-13;2021-01-12;46136;30423
3;Fantastic Granite Salad Fish quantify;Agent wireless Fiji Dollar;Senior;Optimized GB best-of-breed;Tonga;internet solution Borders index;2021-01-13;2021-01-13;96270;55858
4;Secured directional Internal;invoice frictionless;calculate Berkshire;Consultant motivating TCP;Intelligent;Metal Chicken;2021-01-12;2021-01-13;49223;68341
5;Automated parsing Yen;withdrawal e-commerce Micronesia;Lebanese Pound Infrastructure;streamline;solid state challenge;Ethiopian Birr payment;2021-01-13;2021-01-13;45642;68138
6;card Zloty;Director Berkshire Rubber;Chilean Peso Unidades de fomento;morph revolutionary;Toys calculating Cotton;multi-state collaborative;2021-01-12;2021-01-13;48875;17056
7;Factors;schemas Illinois;redundant Handcrafted Metal Car;Italy;Home Loan Account;calculate transform Unbranded Cotton Bike;2021-01-13;2021-01-12;52869;15323
8;payment e-tailers;compressing visionary;Georgia capacitor;moratorium;Optimization synthesize Analyst;European Unit of Account 9(E.U.A.-9) Ball Arkansas;2021-01-12;2021-01-13;88741;74879
9;turquoise compress;Unbranded Cotton Chicken Passage;PCI;magnetic orchid;Awesome USB;invoice;2021-01-13;2021-01-13;83943;36190
10;Kina;Ball;Shirt index Personal Loan Account;Intelligent Credit Card Account Checking Account;architect Peru Metal;indexing maximized;2021-01-12;2021-01-13;79898;98918
