id;montant;montant_verse;con_date_signature;con_date_approbation;con_date_notification;con_date_recep_provisoire;con_date_recep_definitive;con_date_ordre_demarrage;condate_attribution_provisoire;condate_attribution_definitive;con_date_paiement;date_demande_immatriculation;date_immatriculation;date_pub;date_demande_pub_contrat;con_date_creation;renouvcont_date_demande_autorisation;renouvcont_dateautorisation;renouvcont_date_demande_examen_juridique;renouvcont_date_examen_juridique;renouvcont_date_demande_approbation;renouvcont_date_approbation;renouvcont_date_rejet;renouvcont_date_retour_approbation;con_comment_signature;con_ref_signature;con_comment_approbation;con_ref_approbation;con_comment_notification;con_ref_notification;con_fichier_recep_provisoire;con_comment_recep_provisoire;con_fichier_recep_definitive;con_comment_recep_definitive;con_fichier_ordre_demarrage;con_comment_ordre_demarrage;con_ref_attribution_provisoire;con_commentaire_attribution_provisoire;con_ref_attribution_definitive;con_commentaire_attribution_definitive;con_statut;num_matriculation;con_commentaire_dmdmat;con_commentaire_matriculation;conc_situation;nationnalite;fichier_immatricule;fichier_justificatif;commentaire_pub;fichier_contrat;con_comment_demande_pub;renouvcont_fichier_autorisation_prealable;renouvcont_fichier_examen_juridique;renouvcont_fichier_contrat_signe;renouvcont_fichier_page_garde;renouvcont_fichier_page_signature;renouvcont_fichier_rapport_motivation;renouvcont_fichier_projet_contrat;renouvcont_comment_autorisation;renouvcont_comment_demande_approbation;renouvcont_comment_examen_juridique;autorite_id;service_id;mode_passation_id;type_marche_id;immatriculation;delai;renouvcont_immat_statut;renouvcont_pub_statut;renouvcont_autorisation_statut;renouvcont_examen_juridique_statut;renouvcont_approbation_statut;etat_contratdebase;libelle_lot
1;78244;62214;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;Montserrat Home;networks Tasty eyeballs;gold Cayman Islands Dollar;Lakes;XML parsing Branding;Fantastic Rubber Gloves;bifurcated;Vermont platforms Customizable;hacking Plastic;invoice;online connect Incredible;Personal Loan Account;solid state Executive;COM moratorium ROI;withdrawal;Stravenue Ramp;North Dakota Tools Reactive;Home;full-range Gorgeous Rubber Gloves;Intelligent synthesizing;Bike Supervisor platforms;Orchestrator panel;yellow;Industrial;Assistant;Plastic monitoring Director;methodical parse;copy;payment;one-to-one;PCI;Cambridgeshire Georgia XSS;Refined Concrete Towels driver;Marketing Burundi Franc;Clothing transform;RSS Fantastic Metal Car frictionless;hack Borders Markets;63564;11337;88112;88036;46472;81157;false;false;67628;91929;40924;Singapore Dollar Plastic;world-class Avon
2;43615;21565;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;Unbranded Cambridgeshire;IB;Quality 5th generation Corporate;maroon Turnpike;navigate;Security;payment multi-byte card;magenta microchip;multi-byte;Assurance TCP;payment compressing;Operations red;world-class Shoes;Future reinvent;e-commerce transmitter Stream;Palladium;Clothing program input;applications tan Money Market Account;Industrial impactful;invoice parsing program;Green drive;Gorgeous;experiences radical Incredible;SMTP Rapid;orchestrate hack copying;contingency;Wooden;payment payment;invoice;Delaware;Pine Personal Loan Account;Garden Personal Loan Account Fresh;copying Metrics B2C;Technician Home Loan Account;matrix Corners solid state;orchestrate Somali Shilling pink;Bike New York;9987;60409;31722;21356;22719;82526;false;false;67131;79238;34246;morph;lime Beauty Direct
3;3821;71539;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;SSL challenge engage;Rustic;Mountain Sleek deposit;Awesome Frozen Pants 24/7;Factors Cambridgeshire Russian Federation;impactful 24/7;Analyst;synthesize calculating Central;navigating Roads;deliverables Internal Avon;transmitting orchid software;utilize Generic;Intelligent Plastic Bacon Representative eco-centric;Engineer portal;Metal asymmetric Ergonomic Wooden Shirt;program Chicken;invoice Handmade Plastic Salad input;hard drive;Technician transmitting;invoice Automotive bypass;client-server Sharable transmit;Soft;Analyst;stable red utilisation;bifurcated cultivate front-end;connecting Dominica Credit Card Account;Sleek Metal Mouse Granite Kids;syndicate Pike Supervisor;withdrawal;best-of-breed;Auto Loan Account dynamic;solid state Trinidad and Tobago multi-byte;Liaison Bedfordshire;Sausages Credit Card Account;azure benchmark Soap;Panama directional engage;Cambridgeshire Small Frozen Table Security;514;34695;37228;77172;64977;71740;true;true;28019;38882;44331;Concrete payment withdrawal;River Soft
4;9088;67838;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;compressing engineer Savings Account;Philippine Peso Concrete back-end;Plains;Georgia;wireless Assistant HTTP;South Carolina;deposit;Phased;Intelligent Frozen Soap;Pass Bedfordshire archive;iterate Handcrafted;customer loyalty Frozen;turquoise Garden Albania;Nebraska;online exuding blue;Functionality calculate seize;neural port programming;Granite Fantastic Street;deposit global;Home Loan Account Awesome Plastic Pizza;tan Bedfordshire lime;Plastic payment deposit;capacitor Branding;multi-byte XML Credit Card Account;implementation connect Specialist;disintermediate XML;tan;application benchmark;Hryvnia;Soft capacitor;indexing East Caribbean Dollar;Personal Loan Account;Applications bandwidth-monitored;protocol;Home Loan Account National integrate;composite Home;national;17183;55973;62748;73479;67921;21301;false;true;38972;22101;75732;Keyboard;cutting-edge
5;92448;24058;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;flexibility;Cambridgeshire Devolved Sleek Metal Cheese;Quetzal;bandwidth Grocery Savings Account;wireless Tokelau;monitor;Checking Account;models;e-services;cyan;Handmade Concrete Chair;Ville;parsing Intelligent Wooden Pizza;deposit Visionary Shoes;Multi-channelled Orchestrator;Accounts;ubiquitous static application;Pennsylvania;Dynamic;Global;Steel Avon discrete;Bahraini Dinar;Personal Loan Account;open-source firewall;Baby violet Highway;deposit;Mississippi vortals;archive;transmit Specialist Spring;Functionality Lead;Customer Avon multi-byte;salmon;Incredible;Identity;Handmade Cotton Tuna compress Home;Business-focused SMTP;payment copy SSL;29432;66275;61590;23491;99338;31407;false;false;9073;95655;93169;Montana redefine;Director whiteboard Pants
6;4180;26585;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;Public-key;FTP Open-architected;Brand;Infrastructure Gorgeous Rubber Shoes Salad;Berkshire Democratic People's Republic of Korea Uruguay;XSS;Bike convergence Cambridgeshire;Automotive bus Fundamental;Mauritania innovative;Sausages Supervisor Via;Kina Kids;functionalities local Steel;user-centric HTTP Rapid;HTTP Small Rubber;JBOD;Mayotte;deposit recontextualize Strategist;Unbranded solid state e-enable;violet Manager;Practical;Rubber;Cambridgeshire;Human Home Loan Account Fantastic;Implemented Computer;Buckinghamshire Table;Ergonomic redundant;purple Australia Philippines;Checking Account bypass;pink Guarani exploit;Mall Berkshire Soft;Orchestrator Investment Account optimize;Division Agent Savings Account;bypassing Tools Secured;Engineer;algorithm Berkshire;holistic;programming Baby systems;39161;57655;74715;49264;69410;86191;false;false;63827;24677;35378;Refined Associate Shoal;Assurance conglomeration Sleek
7;31561;96643;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;Balanced;haptic pink Small Metal Cheese;Total;secondary Mouse;Investor Belarussian Ruble;facilitate action-items Liaison;Infrastructure Buckinghamshire CSS;open system Isle hybrid;B2C SAS;Texas;portals communities;productivity;Money Market Account application Games;Engineer;Practical Frozen Mouse Yuan Renminbi Curve;sticky;Plastic withdrawal;Buckinghamshire;Savings Account Developer;transparent Iowa orchid;SMS asynchronous UAE Dirham;world-class web-readiness;well-modulated Virgin Islands, British Implemented;sky blue;Fully-configurable Afghanistan Agent;tan;models white;backing up bypass;RAM;Marketing ADP;Industrial fuchsia local;Rustic Steel Soap;full-range Executive;Nebraska Walks;invoice Colombian Peso Unidad de Valor Real;salmon;mission-critical 6th generation Buckinghamshire;22775;9083;59869;97429;34904;44045;false;false;71469;7649;62492;Papua New Guinea;primary Latvia
8;53609;44552;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-12;2021-01-12;2021-01-12;Somali Shilling;indigo Frozen;Shirt;monitor;Bike discrete;Functionality Assistant;Persistent;Implementation Chief Glens;navigating South Georgia and the South Sandwich Islands program;partnerships;Berkshire;Tunisia;extensible object-oriented Quetzal;Uruguay Supervisor Bike;Coordinator;Personal Loan Account capacitor;indexing Engineer indigo;withdrawal;HTTP;Security payment;wireless withdrawal leverage;Wyoming;Indonesia teal dedicated;object-oriented North Dakota Illinois;Fresh;Small fuchsia Garden;Checking Account;orchid Creek Idaho;Planner quantifying;XML Garden;Cotton Soft purple;cross-platform;Jewelery vertical Iceland Krona;Coordinator needs-based;compress online Cotton;connect Mobility;North Carolina Investment Account morph;97998;19299;70096;33707;48851;9165;false;true;92449;12503;42489;Electronics front-end;Ameliorated SQL
9;68769;53789;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-12;Mouse Practical Metal Sausages Western Sahara;fuchsia Pula;Quetzal;array;Vermont;Handcrafted hacking;Vermont;Lake;Tactics mobile;unleash withdrawal;copy Strategist;Fantastic redundant;array orchid panel;Rupiah;Fresh Investment Account;payment functionalities;architect Skyway;experiences multi-tasking;Ghana Devolved;product;Senior bluetooth;back up Industrial;synergies Health;Gloves;Licensed Cambridgeshire pixel;payment transparent ADP;Incredible Rubber Table hard drive;generating;protocol International ivory;Liaison;platforms;benchmark encryption payment;Accounts;Home Loan Account;panel;Computers;Croatia Generic Fresh Keyboard application;38845;39368;33388;70142;29101;10555;false;false;81816;63999;61398;card;Republic of Korea Face to face website
10;57266;51514;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-12;2021-01-12;2021-01-12;2021-01-13;2021-01-12;2021-01-13;2021-01-13;2021-01-13;2021-01-13;2021-01-12;withdrawal Chips;withdrawal B2B connecting;Movies indexing Home Loan Account;GB bottom-line sensor;input Analyst Tuna;Chief task-force Danish Krone;Berkshire;value-added;4th generation real-time;Chad;navigating Hat Landing;Turks and Caicos Islands;Electronics;Towels payment Buckinghamshire;matrix;Corporate De-engineered;morph AI;stable pixel Chief;Hat;Hat District;supply-chains invoice Djibouti;Small Soft Gloves Won;Sierra Leone Soap technologies;Chief;HDD Guernsey;Face to face Uzbekistan Manager;platforms Sharable Credit Card Account;Taka;e-tailers Centralized;red;hybrid;grid-enabled indigo;Avon;Orchestrator;value-added;flexibility National;connecting;17797;30737;71555;47497;77653;83225;true;false;19084;51648;10337;Intelligent Frozen Ball;capacitor migration PCI
