id;conforme;libelle;libelle_lot
1;96695;Montenegro Savings Account Table;bus Associate
2;28426;Home;port Data
3;98597;Dynamic withdrawal;circuit intangible
4;60590;Generic Plastic Bike Berkshire;Avon
5;87022;Skyway Intuitive;Health interfaces
6;50488;Senior deposit yellow;Checking Account Lead navigating
7;1584;connect HTTP British Indian Ocean Territory (Chagos Archipelago);Corners
8;37148;Nebraska Customer Exclusive;New Hampshire
9;23416;partnerships;Djibouti Franc Netherlands Antilles
10;46320;exploit connecting;Wooden Monitored Specialist
