id;fournie;libelle;observations;libellelot;montant
1;stable;Chief Monitored;Coordinator;e-tailers;60451
2;Licensed Soft Bacon artificial intelligence;cross-platform Granite Planner;payment Wooden;compress Virginia;28043
3;SDD;backing up;primary Small;Table Fresh;41049
4;Home Loan Account;Small Granite Soap Australian Dollar attitude;withdrawal Technician Christmas Island;Designer;45271
5;algorithm;Gorgeous Soft Bike Electronics;Handcrafted circuit;Michigan;6858
6;fuchsia intranet override;Plaza withdrawal;Garden Grocery infrastructures;zero tolerance;82665
7;New Hampshire payment Regional;UIC-Franc robust;transmitting orchid;action-items concept flexibility;82812
8;Director;online;Borders;Customer Cliffs Brand;75883
9;synthesize Avon;web services backing up communities;New Zealand Dollar Pula;Research integrated;48368
10;web-enabled Generic Implementation;matrix;quantify Fantastic;Tasty Rubber Pizza Planner Serbian Dinar;15433
