id;libelle;numero;commentaire;montant;montantdao
1;program override Computers;SAS Public-key Tunisian Dinar;Central African Republic;9070;13764
2;Buckinghamshire SCSI;Berkshire Missouri Identity;Games Orchestrator;8740;61434
3;Florida PNG;syndicate;Moldova;48024;59842
4;revolutionize;Checking Account Handmade Frozen Pizza;South Carolina Mouse;16110;53895
5;Avon salmon redundant;wireless Handmade;knowledge user networks;19;55261
6;bypass access;Jordanian Dinar copy Mall;leading-edge;72009;6262
7;panel synthesizing;Locks Dynamic;Dynamic;90985;68611
8;GB hacking;Sports digital Developer;Sleek Rubber Cheese Internal;11259;52381
9;Brand Pants;Seamless Plains impactful;HTTP well-modulated;25165;76335
10;Dynamic Money Market Account;reinvent;hard drive;12145;26115
