id;mon_code;mon_libelle
1;Managed Investment Account knowledge base;generate quantifying Senegal
2;American Samoa transmitting New Taiwan Dollar;Neck
3;Berkshire;Bacon Stand-alone neural
4;protocol;Niue Keys Paradigm
5;Regional Forint primary;Japan copying
6;orchid National;purple Interactions visualize
7;violet Dynamic New York;Incredible Soft Keyboard bypassing Iraqi Dinar
8;orchid Credit Card Account;EXE SMS
9;Direct blue;synergy implementation Refined Plastic Table
10;transform revolutionary FTP;Dynamic Associate Licensed Rubber Pants
