id;nat_code;nat_libelle
1;optical hard drive;Congolese Franc Soap
2;Checking Account markets;haptic
3;Investment Account eco-centric Applications;Colorado French Guiana
4;copying Avon;Luxembourg card
5;Tunnel envisioneer out-of-the-box;SMS withdrawal facilitate
6;Money Market Account indexing;value-added Designer
7;groupware;feed Refined Concrete Shirt withdrawal
8;West Virginia Paradigm connect;Savings Account Analyst
9;TCP;Savings Account Organized toolset
10;deliverables hacking object-oriented;Unbranded Soft Towels input Up-sized
