id;libelle;description;codepiece;localisation;type;autorite_id
1;Security;generating;core;microchip;23919;78781
2;Developer Home Loan Account enterprise;overriding;Cote d'Ivoire calculating Mill;Forint driver;66384;88899
3;Michigan;cross-platform;Money Market Account;Right-sized;38435;46502
4;Georgia;Bahamian Dollar;optimize;Philippine Peso calculating;85402;91658
5;Rustic e-tailers;copying Refined Cotton Sausages methodologies;Chair Berkshire;Bedfordshire contextually-based Mississippi;66286;83334
6;protocol Spain;backing up port JBOD;haptic Corporate Knolls;Licensed;83993;47890
7;Refined;Computers engage;tan;Pants Concrete Cambridgeshire;25026;78746
8;Centralized International;optimize;Bedfordshire;Executive;67149;59432
9;e-enable;Central functionalities Handcrafted Metal Pants;Louisiana indexing;website Organic;40961;32634
10;Checking Account Internal;Assistant neural;Assistant Credit Card Account Avon;Fantastic Concrete Salad;75884;45685
