id;etat;libelle;etat_conforme
1;paradigms secondary;Right-sized schemas Personal Loan Account;content Junctions hack
2;Computer Profound;Minnesota;Investment Account Hat magnetic
3;Specialist Shores;heuristic auxiliary;executive Cotton mobile
4;Supervisor Automotive;matrix monitor Moldova;Shoes Cambridgeshire National
5;Practical Plastic Soap;Accounts compressing;overriding Handmade Soft Chair
6;transmitting Personal Loan Account Practical;web-readiness Cambridgeshire;Digitized
7;Manager Andorra Profound;Chicken cyan;invoice Public-key maroon
8;Re-contextualized Cocos (Keeling) Islands;evolve Future Paradigm;Refined Rhode Island HDD
9;Automotive;Concrete;viral
10;Saudi Arabia Metal Intelligent Granite Tuna;red Human;Handcrafted
