id;allotissement;garantie;piece_administrative;critere_qualification;devise;financement;registre_retrait;registre_depot;lots_soumis;commissions_passation;representants_soumis;services_techniques;observateurs;garantie_soum;pieces_soumis;lecture_offre;commission_tecnique;document;examen_garantie;examen_exhaustivite;examen_signature_offre;examen_conformite;verification_critere;attribution_provisoire;terme_reference;depot_candidature;preselection;notification;commissions_passation_pi;representants_soumis_pi;notes_technique;offres_financiere;prix_evalue;registre_depot_pi;critere_provenance;proces_verbale
1;13258;65527;57148;20870;86644;13468;12716;4285;42773;32451;24883;62577;35577;12096;19201;62989;14050;43871;72764;97386;32090;54346;56936;32749;15613;37835;67071;87695;49888;214;97763;43310;53769;383;5965;72687
2;84751;87823;78076;74075;1826;94119;54134;47056;92277;14636;16276;75764;12375;77240;26914;49813;17049;29061;88397;6745;16225;11273;82398;19291;21945;55920;47351;58475;25443;6144;71490;17170;38235;75787;71592;97109
3;57222;65175;52141;93642;61154;41712;81826;5270;75822;54648;73584;96823;15927;85504;43272;59863;11227;27017;71628;70732;90060;16029;46132;64820;76634;88421;76469;38627;55368;14553;81804;39894;45530;79029;41068;58575
4;45023;60825;12876;43223;82402;49311;71731;8334;25608;49500;68245;82442;14209;51715;80510;13003;8840;21853;11517;15539;35070;35811;55265;63408;33100;62612;94630;50014;61994;11953;69214;38950;45654;72437;2732;23917
5;84781;62127;56276;40860;67861;43892;27761;93957;59075;82142;27853;68920;74616;43086;39240;62316;38910;94024;95722;47986;51522;1047;8840;95198;54579;1969;61371;653;70900;67865;23067;49633;78154;51783;1539;91681
6;80117;46557;67123;93611;27697;76122;76893;32578;31927;86368;43867;79703;24889;53877;91009;74482;51841;10867;98861;9908;20167;79795;31952;80594;75625;7652;21707;91922;42111;99692;24472;56070;81872;35660;53778;73067
7;68623;56975;8479;84388;68739;52725;84710;84558;48130;96080;29803;8008;33308;28057;62210;55701;61822;97793;16791;77076;21165;14547;56162;23352;52210;81511;88691;76039;1407;59171;96937;51266;87728;42530;89128;11051
8;99875;51046;90539;4726;47251;31325;92063;22810;27685;55421;83273;78443;93417;74214;30173;49032;74794;51819;48162;65948;35083;62970;82515;12223;83905;63939;66174;50298;12706;83379;7157;15117;65092;32121;24564;31141
9;17557;72599;39686;1707;63853;59449;48870;38368;56498;57085;34463;19372;26424;7790;3928;54662;38880;62872;77192;13890;19604;63455;41037;96912;67621;91474;88571;31485;48123;32563;97096;30229;51088;59247;90172;37458
10;58609;27789;79675;67585;31951;68298;91835;7536;14424;89175;96412;84314;19224;14005;40426;97697;35581;71687;71898;1839;94524;58092;2985;72156;84444;93658;53369;5673;65791;60006;48516;24602;44256;51654;53799;19092
